english_name;suggested_russian_name;confidence;ambiguity_reason;number_of_in_stock_parttypes;total_in_stock_qty;manufacturers;catalog;sample_articles;applications;name_contains_russian;multi_meaning;split_by_source;safe_bulk_group;parts_with_this_english_name_total;parttypes_in_whole_catalog;suggested_operator_decision
CYLINDER BLOCK PLASMA REBUILD G5;Цилиндр BLOCK PLASMA REBUILD G5;NEEDS_HUMAN_REVIEW;"не переведены слова: BLOCK, PLASMA, REBUILD; многозначные слова, одним переводом на всю базу не закрывается: BLOCK";1;1.000;;нет;420413575RG5;;нет;да;нет;нет;1;1;EDIT
DEEP BLACK LH BOTTOM PAN;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: PAN";1;1.000;BRP;BRP;502007175;;нет;да;нет;нет;1;1;REVIEW
DEKO SHAFT;Вал DEKO;NEEDS_HUMAN_REVIEW;не переведены слова: DEKO;1;1.000;BRP;BRP;420620120;;нет;нет;нет;нет;1;1;EDIT
DEKO TORSION SPRING;Пружина DEKO TORSION;NEEDS_HUMAN_REVIEW;не переведены слова: DEKO, TORSION;1;1.000;BRP;BRP;420238270;;нет;нет;нет;нет;1;1;EDIT
DISTANCE GAUGE;Указатель DISTANCE;NEEDS_HUMAN_REVIEW;не переведены слова: DISTANCE;1;1.000;BRP;BRP;529036415;;нет;нет;нет;нет;1;1;EDIT
DOOR - BOTTOM PAN;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: PAN";1;1.000;BRP;BRP;502007676;;нет;да;нет;нет;1;1;REVIEW
DRAIN NECK;Горловина DRAIN;NEEDS_HUMAN_REVIEW;не переведены слова: DRAIN;1;1.000;BRP;BRP;292001552;;нет;нет;нет;нет;1;1;EDIT
DRIVE CHAIN, 116 LINKS;Цепь приводной 116 LINKS;NEEDS_HUMAN_REVIEW;не переведены слова: LINKS;1;1.000;BRP;BRP;504153759;;нет;нет;нет;нет;1;1;EDIT
DRIVE PULLEY CLUTCH;Шкив приводной CLUTCH;NEEDS_HUMAN_REVIEW;не переведены слова: CLUTCH;1;1.000;BRP;BRP;420257195;;нет;нет;нет;нет;1;1;EDIT
DRIVEN PULLEY CAM;Шкив DRIVEN CAM;NEEDS_HUMAN_REVIEW;"не переведены слова: CAM, DRIVEN; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;1.000;BRP;BRP;420280199;;нет;да;нет;нет;1;1;EDIT
END-PIECE;;NEEDS_HUMAN_REVIEW;"слово «END» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: END";1;1.000;BRP;BRP;709400449;;нет;да;нет;нет;1;1;REVIEW
EXTENSION TUBE LH;Трубка EXTENSION левый;NEEDS_HUMAN_REVIEW;не переведены слова: EXTENSION;1;1.000;BRP;BRP;605251783;;нет;нет;нет;нет;1;1;EDIT
FASTENING PLATE;Пластина FASTENING;NEEDS_HUMAN_REVIEW;не переведены слова: FASTENING;1;1.000;BRP;BRP;518326450;;нет;нет;нет;нет;1;1;EDIT
FLANGED HEX. SCREW M6 X 12, SCOTCH GRIP;Рукоятка фланцевый шестигранный винт M6 X 12 SCOTCH;NEEDS_HUMAN_REVIEW;не переведены слова: SCOTCH;1;1.000;BRP;BRP;250000412;;нет;нет;нет;нет;1;1;EDIT
FLANGED HEX. SCREW M8 X 30, SCOTCH GRIP;Рукоятка фланцевый шестигранный винт M8 X 30 SCOTCH;NEEDS_HUMAN_REVIEW;не переведены слова: SCOTCH;1;1.000;BRP;BRP;207583086;;нет;нет;нет;нет;1;1;EDIT
FLAT WASHER M12;Шайба FLAT M12;NEEDS_HUMAN_REVIEW;не переведены слова: FLAT;1;1.000;BRP;BRP;250200102;;нет;нет;нет;нет;1;1;EDIT
FLAT WASHER M6.6 X 22;Шайба FLAT M6.6 X 22;NEEDS_HUMAN_REVIEW;не переведены слова: FLAT;1;1.000;BRP;BRP;250200022;;нет;нет;нет;нет;1;1;EDIT
FORK, REVERSE;Вилка REVERSE;NEEDS_HUMAN_REVIEW;не переведены слова: REVERSE;1;1.000;BRP;BRP;619230015;;нет;нет;нет;нет;1;1;EDIT
FORMED HOSE;Шланг FORMED;NEEDS_HUMAN_REVIEW;не переведены слова: FORMED;1;1.000;BRP;BRP;420922828;;нет;нет;нет;нет;1;1;EDIT
FRNT SKID;Отбойник FRNT;NEEDS_HUMAN_REVIEW;не переведены слова: FRNT;1;1.000;BRP;BRP;715000548;;нет;нет;нет;нет;1;1;EDIT
FUEL INJECTOR PTO;Форсунка топливный PTO;NEEDS_HUMAN_REVIEW;не переведены слова: PTO;1;1.000;BRP;BRP;420874876;;нет;нет;нет;нет;1;1;EDIT
FUSE BOX BASE;Коробка предохранитель BASE;NEEDS_HUMAN_REVIEW;"не переведены слова: BASE; многозначные слова, одним переводом на всю базу не закрывается: BASE";1;1.000;BRP;BRP;515176065;;нет;да;нет;нет;1;1;EDIT
GAUGE RING;Указатель RING;NEEDS_HUMAN_REVIEW;"не переведены слова: RING; многозначные слова, одним переводом на всю базу не закрывается: RING";1;1.000;BRP;BRP;415129370;;нет;да;нет;нет;1;1;EDIT
GICLEUR D'HUILE ASS'Y;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;420856877;;нет;да;нет;нет;1;1;REVIEW
GPS SUPPORT PROTECTOR;Защита GPS кронштейн;NEEDS_HUMAN_REVIEW;не переведены слова: GPS;1;1.000;BRP;BRP;709400450;;нет;нет;нет;нет;1;1;EDIT
HAND LEVER_ACCELERATOR;Рычаг HAND ACCELERATOR;NEEDS_HUMAN_REVIEW;не переведены слова: ACCELERATOR, HAND;1;1.000;BRP;BRP;707000595;;нет;нет;нет;нет;1;1;EDIT
HEX. FLANGED CASTELLATED NUT M18;Гайка шестигранный фланцевый CASTELLATED M18;NEEDS_HUMAN_REVIEW;не переведены слова: CASTELLATED;1;1.000;BRP;BRP;232291413;;нет;нет;нет;нет;1;1;EDIT
HEX. FLANGED SCEW M6 X 18;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;250000059;;нет;нет;нет;нет;1;1;REVIEW
HOOD GRILL WITH MESH;Сетка капот решётка WITH;NEEDS_HUMAN_REVIEW;не переведены слова: WITH;1;1.000;BRP;BRP;517305553;;нет;нет;нет;нет;1;1;EDIT
IGNITION SWITCH;Выключатель IGNITION;NEEDS_HUMAN_REVIEW;не переведены слова: IGNITION;1;1.000;BRP;BRP;710002324;;нет;нет;нет;нет;1;1;EDIT
INTERMEDITE GEAR, 21 TEETH;Шестерня INTERMEDITE 21 TEETH;NEEDS_HUMAN_REVIEW;не переведены слова: INTERMEDITE, TEETH;1;1.000;BRP;BRP;420434582;;нет;нет;нет;нет;1;1;EDIT
KILL SWITCH;Выключатель KILL;NEEDS_HUMAN_REVIEW;не переведены слова: KILL;1;1.000;BRP;BRP;515177362;;нет;нет;нет;нет;1;1;EDIT
KILL SWITCH SUPPORT;Кронштейн KILL выключатель;NEEDS_HUMAN_REVIEW;не переведены слова: KILL;1;1.000;BRP;BRP;515176825;;нет;нет;нет;нет;1;1;EDIT
KIT BALL JOINT WITH CIRCLIP;Шаровая опора комплект WITH кольцо стопорное;NEEDS_HUMAN_REVIEW;"не переведены слова: WITH; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;1.000;BRP;BRP;703501262;;нет;да;нет;нет;1;1;EDIT
LH KNUCKLE;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;705400817;;нет;нет;нет;нет;1;1;REVIEW
LH SIDE VANE;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;277001486;;нет;нет;нет;нет;1;1;REVIEW
LOCK;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;710001633;;нет;нет;нет;нет;1;1;REVIEW
MAGNETIC CAP;Колпачок MAGNETIC;NEEDS_HUMAN_REVIEW;не переведены слова: MAGNETIC;1;1.000;BRP;BRP;504152619;;нет;нет;нет;нет;1;1;EDIT
MASTER CYLINDER;Цилиндр MASTER;NEEDS_HUMAN_REVIEW;не переведены слова: MASTER;1;1.000;BRP;BRP;507032596;;нет;нет;нет;нет;1;1;EDIT
MASTER CYLINDER ASS'Y;Цилиндр MASTER в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: MASTER; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;507032408;;нет;да;нет;нет;1;1;EDIT
NAMURA PWC SEADOO TOP-END GASKET SET;Комплект прокладок верхней части двигателя NAMURA PWC SEADOO;NEEDS_HUMAN_REVIEW;не переведены слова: NAMURA, PWC, SEADOO;1;1.000;NAMURA TECHNOLOGIES;aftermarket;NW-10003T;;нет;нет;нет;нет;1;7;EDIT
NEEDLE JET;Игла JET;NEEDS_HUMAN_REVIEW;не переведены слова: JET;1;1.000;BRP;BRP;404162036;;нет;нет;нет;нет;1;1;EDIT
OIL DIPSTICK;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;420256802;;нет;нет;нет;нет;1;1;REVIEW
PAWL LOCK;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;420852640;;нет;нет;нет;нет;1;1;REVIEW
PINION GEAR 28T;Шестерня PINION 28T;NEEDS_HUMAN_REVIEW;не переведены слова: PINION;1;1.000;BRP;BRP;420934102;;нет;нет;нет;нет;1;1;EDIT
PINION GEAR SHIM;Шайба регулировочная PINION шестерня;NEEDS_HUMAN_REVIEW;не переведены слова: PINION;1;1.000;BRP;BRP;705501162;;нет;нет;нет;нет;1;1;EDIT
PINION SHIM KIT;Шайба регулировочная PINION комплект;NEEDS_HUMAN_REVIEW;"не переведены слова: PINION; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;1.000;BRP;BRP;703500049;;нет;да;нет;нет;1;1;EDIT
PLAIN BEARING;Подшипник PLAIN;NEEDS_HUMAN_REVIEW;не переведены слова: PLAIN;1;1.000;BRP;BRP;420933545;;нет;нет;нет;нет;1;1;EDIT
PLASTIC LINQ;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;715002412;;нет;нет;нет;нет;1;1;REVIEW
PLUG DRAIN;Пробка DRAIN;NEEDS_HUMAN_REVIEW;не переведены слова: DRAIN;1;1.000;BRP;BRP;705501724;;нет;нет;нет;нет;1;1;EDIT
PLUNGER ASS'Y;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;404162038;;нет;да;нет;нет;1;1;REVIEW
POSITION SENSOR;Датчик POSITION;NEEDS_HUMAN_REVIEW;не переведены слова: POSITION;1;1.000;BRP;BRP;420866120;;нет;нет;нет;нет;1;1;EDIT
PUSHER ASS?Y;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;271001124;;нет;нет;нет;нет;1;1;REVIEW
RAMP 413;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;417222508;;нет;нет;нет;нет;1;1;REVIEW
RAMP 600;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;417222444;СНЕГОХОД;нет;нет;нет;нет;1;1;REVIEW
RAMP 617;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;417223088;;нет;нет;нет;нет;1;1;REVIEW
REAR LIGHT COVER;Крышка задний LIGHT;NEEDS_HUMAN_REVIEW;не переведены слова: LIGHT;1;1.000;BRP;BRP;511000764;;нет;нет;нет;нет;1;1;EDIT
REDUCTION COVER GEAR;Шестерня REDUCTION крышка;NEEDS_HUMAN_REVIEW;не переведены слова: REDUCTION;1;1.000;BRP;BRP;420610891;;нет;нет;нет;нет;1;1;EDIT
REGULATOR;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;415129821;;нет;нет;нет;нет;1;1;REVIEW
REGULATOR_VOLTAGE;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;710010539;;нет;нет;нет;нет;1;1;REVIEW
RELAY, 50 AMP;Реле 50 AMP;NEEDS_HUMAN_REVIEW;не переведены слова: AMP;1;1.000;BRP;BRP;515176775;;нет;нет;нет;нет;1;1;EDIT
REVERSE HANDLE, APPLE GREEN;Ручка REVERSE APPLE GREEN;NEEDS_HUMAN_REVIEW;не переведены слова: APPLE, GREEN, REVERSE;1;1.000;BRP;BRP;271001334;;нет;нет;нет;нет;1;1;EDIT
RH ADJUST CAM;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;1.000;BRP;BRP;572030900;;нет;да;нет;нет;1;1;REVIEW
RH SIDE MEMBER;Балка правый SIDE;NEEDS_HUMAN_REVIEW;не переведены слова: SIDE;1;1.000;BRP;BRP;518326328;;нет;нет;нет;нет;1;1;EDIT
RING_WEAR;;NEEDS_HUMAN_REVIEW;"слово «RING» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: RING";1;1.000;BRP;BRP;277002318;;нет;да;нет;нет;1;1;REVIEW
RISER SHIM;Шайба регулировочная RISER;NEEDS_HUMAN_REVIEW;не переведены слова: RISER;1;1.000;BRP;BRP;514054806;;нет;нет;нет;нет;1;1;EDIT
ROD PIVOT;;NEEDS_HUMAN_REVIEW;"слово «ROD» без человека однозначно не перевести; многозначные слова, одним переводом на всю базу не закрывается: ROD";1;1.000;BRP;BRP;268000014;;нет;да;нет;нет;1;1;REVIEW
ROTAX ENGINE 503 ASY;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;;нет;400509000;;нет;нет;нет;нет;1;1;REVIEW
RUBBER;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;514055632;;нет;нет;нет;нет;1;1;REVIEW
SAFETY LANYARD, ANTITHEFT;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;278002199;;нет;нет;нет;нет;1;1;REVIEW
SCOOP GRILL;Решётка SCOOP;NEEDS_HUMAN_REVIEW;не переведены слова: SCOOP;1;1.000;BRP;BRP;517306980;;нет;нет;нет;нет;1;1;EDIT
SCREW-TORX TRUSS CONE HD.M6X50;Винт TORX TRUSS CONE HD.M6X50;NEEDS_HUMAN_REVIEW;не переведены слова: CONE, HD.M6X50, TORX, TRUSS;1;1.000;BRP;BRP;250000827;;нет;нет;нет;нет;1;1;EDIT
SEAL NEOPRENE;Сальник NEOPRENE;NEEDS_HUMAN_REVIEW;не переведены слова: NEOPRENE;1;1.000;BRP;BRP;293200024;;нет;нет;нет;нет;1;1;EDIT
SEMI-TRAPEZ RING;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";1;1.000;BRP;BRP;420815416;;нет;да;нет;нет;1;1;REVIEW
SERVOMOTOR;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;420889432;;нет;нет;нет;нет;1;1;REVIEW
SHIFTING DRUM;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;619230056;;нет;нет;нет;нет;1;1;REVIEW
SHIFTING SLEEVE;Втулка распорная SHIFTING;NEEDS_HUMAN_REVIEW;не переведены слова: SHIFTING;1;1.000;BRP;BRP;420257944;;нет;нет;нет;нет;1;1;EDIT
SKILEG LH MACHINED;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;505073579;;нет;нет;нет;нет;1;1;REVIEW
SOCKET HEAD SCREW M6 X 25;Винт гнездо HEAD M6 X 25;NEEDS_HUMAN_REVIEW;"не переведены слова: HEAD; многозначные слова, одним переводом на всю базу не закрывается: HEAD";1;1.000;BRP;BRP;420640690;;нет;да;нет;нет;1;1;EDIT
SOCKET HEAD SCREW M6 X 25, SCOTCH GRIP;Рукоятка гнездо HEAD винт M6 X 25 SCOTCH;NEEDS_HUMAN_REVIEW;"не переведены слова: HEAD, SCOTCH; многозначные слова, одним переводом на всю базу не закрывается: HEAD";1;1.000;BRP;BRP;205562560;;нет;да;нет;нет;1;1;EDIT
SPACING TOOL;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;BRP;BRP;520001142;;нет;нет;нет;нет;1;1;REVIEW
SPEEDOMETER BUTTON;Кнопка SPEEDOMETER;NEEDS_HUMAN_REVIEW;не переведены слова: SPEEDOMETER;1;1.000;BRP;BRP;415129355;;нет;нет;нет;нет;1;1;EDIT
SPI CRANK WEB - PTO SIDE;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: WEB";1;1.000;SPI;aftermarket;SM-09381;;нет;да;нет;нет;1;4;REVIEW
SPI PTO CRANK WEB;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: WEB";1;1.000;SPI;aftermarket;SM-09374;;нет;да;нет;нет;1;1;REVIEW
SPI TAILLIGHT;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;1.000;SPI;aftermarket;SM-01502;;нет;нет;нет;нет;1;2;REVIEW
STARTER CLUTCH ASS'Y;Стартер CLUTCH в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: CLUTCH; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;278001106;;нет;да;нет;нет;1;1;EDIT
STARTER REWIND ASSEMBLY, SKI DOO;Лыжа стартер REWIND ASSEMBLY DOO;NEEDS_HUMAN_REVIEW;не переведены слова: ASSEMBLY, DOO, REWIND;1;1.000;SPI;aftermarket;SM-11014;;нет;нет;нет;нет;1;1;EDIT
STEERING RACK BOOT KIT;Пыльник рулевой RACK комплект;NEEDS_HUMAN_REVIEW;"не переведены слова: RACK; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;1.000;BRONCO PRODUCTS;aftermarket;AT-08255;;нет;да;нет;нет;1;2;EDIT
STEERING STEM ARM;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: ARM";1;1.000;BRP;BRP;277001472;;нет;да;нет;нет;1;1;REVIEW
SUPPORT-DOUBLE;Кронштейн DOUBLE;NEEDS_HUMAN_REVIEW;не переведены слова: DOUBLE;1;1.000;BRP;BRP;715000043;;нет;нет;нет;нет;1;1;EDIT
TEMPERATURE SENSOR;Датчик TEMPERATURE;NEEDS_HUMAN_REVIEW;не переведены слова: TEMPERATURE;1;1.000;BRP;BRP;278002895;;нет;нет;нет;нет;1;1;EDIT
TERMINAL SUPPORT;Кронштейн TERMINAL;NEEDS_HUMAN_REVIEW;не переведены слова: TERMINAL;1;1.000;BRP;BRP;515176224;;нет;нет;нет;нет;1;1;EDIT
THRUST WASHER;Шайба THRUST;NEEDS_HUMAN_REVIEW;не переведены слова: THRUST;1;1.000;BRP;BRP;293350020;;нет;нет;нет;нет;1;1;EDIT
TRIM RING;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";1;1.000;BRP;BRP;710000353;;нет;да;нет;нет;1;1;REVIEW
TUFLOK PLASTIC RIVET;Заклёпка TUFLOK пластиковый;NEEDS_HUMAN_REVIEW;не переведены слова: TUFLOK;1;1.000;BRP;BRP;293150089;;нет;нет;нет;нет;1;1;EDIT
TURBOCHARGER ASS'Y;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;1.000;BRP;BRP;420893881;;нет;да;нет;нет;1;1;REVIEW
WEAR SLEEVE;Втулка распорная WEAR;NEEDS_HUMAN_REVIEW;не переведены слова: WEAR;1;1.000;BRP;BRP;705501121;;нет;нет;нет;нет;1;1;EDIT
